time,temp,est,door,compressor
732,4.26022,421.863,0,0
733,4.06718,603.568,0,0
734,4.16378,500.075,0,0
735,4.06718,610.303,0,0
736,3.99462,731.764,0,0
737,3.99462,735.442,0,0
738,4.043,654.099,0,0
739,4.01882,697.721,0,0
740,4.21202,469.829,0,0
741,4.1155,565.962,0,0
742,4.06718,631.944,0,0
743,4.043,672.667,0,0
744,4.09134,604.262,0,0
745,4.1155,576.552,0,0
746,4.043,683.882,0,0
747,4.09134,613.251,0,0
748,3.94621,913.338,0,0
749,4.13964,557.844,0,0
750,4.23612,468.516,0,0
751,4.13964,564.022,0,0
752,4.1879,515.582,0,0
753,4.1155,600.01,0,0
754,4.16378,545.307,0,0
755,4.13964,575.734,0,0
756,4.1155,609.588,0,0
757,4.06718,686.53,0,0
758,4.21202,506.11,0,0
759,4.043,739.89,0,0
760,4.06718,697.992,0,0
761,3.94621,1014.47,0,0
762,4.1155,626.473,0,0
763,4.043,754.876,0,0
764,4.1879,542.049,0,0
765,4.1155,635.967,0,0
766,4.26022,478.315,0,0
767,4.01882,831.517,0,0
768,4.21202,526.602,0,0
769,4.1155,649.948,0,0
770,4.01882,847.874,0,0
771,4.043,792.732,0,0
772,4.06718,744.58,0,0
773,4.1879,563.32,0,0
774,4.043,806.737,0,0
775,4.16378,597.935,0,0
776,3.99462,953.188,0,0
777,4.21202,545.203,0,0
778,4.16378,606.192,0,0
779,4.1879,578.339,0,0
780,4.30839,463.296,0,0
781,4.1879,584.914,0,0
782,4.09134,740.7,0,0
783,4.06718,796.503,0,0
784,3.87351,1834.34,0,0
785,4.16378,625.917,0,0
786,4.09134,753.959,0,0
787,4.1155,710.473,0,0
788,4.13964,671.929,0,0
789,4.06718,821.432,0,0
790,4.043,890.146,0,0
791,4.1155,723.94,0,0
792,4.1879,610.635,0,0
793,4.1879,613.703,0,0
794,3.97042,1203.84,0,0
795,4.28431,508.226,0,0
796,4.16378,658.06,0,0
797,4.21202,592.633,0,0
798,4.28431,514.998,0,0
799,4.23612,569.192,0,0
800,4.21202,602.244,0,0
801,4.23612,574.782,0,0
802,4.13964,724.456,0,0
803,4.21202,611.04,0,0
804,4.1155,782.789,0,0
805,4.23612,584.926,0,0
806,4.28431,532.981,0,0
807,4.21202,623.421,0,0
808,4.06718,935.019,0,0
809,4.16378,706.553,0,0
810,4.23612,598.357,0,0
811,4.1879,672.232,0,0
812,4.1879,675.61,0,0
813,4.1155,826.769,0,0
814,4.1879,681.804,0,0
815,4.21202,646.399,0,0
816,4.21202,649.647,0,0
817,4.30839,531.368,0,0
818,4.38056,468.403,0,0
819,4.26022,592.854,0,0
820,4.16378,753.172,0,0
821,4.23612,631.281,0,0
822,4.26022,601.047,0,0
823,4.13964,821.628,0,0
824,4.09134,965.791,0,0
825,4.35651,501.445,0,0
826,4.16378,779.055,0,0
827,4.16378,782.969,0,0
828,4.09134,992.587,0,0
829,4.35651,508.537,0,0
830,4.13964,856.026,0,0
831,4.13964,860.328,0,0
832,4.26022,627.005,0,0
833,4.45266,437.353,0,0
834,4.28431,601.307,0,0
835,4.33245,546.522,0,0
836,4.26022,641.843,0,0
837,4.21202,727.281,0,0
838,4.40461,483.505,0,0
839,4.21202,736.502,0,0
840,4.1879,791.572,0,0
841,4.26022,657.937,0,0
842,4.30839,592.628,0,0
843,4.30839,595.606,0,0
844,4.21202,757.443,0,0
845,4.30839,600.974,0,0
846,4.13964,959.507,0,0
847,4.30839,605.901,0,0
848,4.16378,895.67,0,0
849,4.28431,645.548,0,0
850,4.1155,1078.01,0,0
851,4.23612,734.475,0,0
852,4.30839,618.273,0,0
853,4.33245,589.34,0,0
854,4.47667,451.954,0,0
855,4.38056,539.91,0,0
856,4.26022,711.532,0,0
857,4.26022,715.108,0,0
858,4.35651,574.232,0,0
859,4.28431,680.152,0,0
860,4.26022,727.093,0,0
861,4.23612,780.725,0,0
862,4.26022,734.183,0,0
863,4.35651,586.405,0,0
864,4.38056,560.474,0,0
865,4.40461,536.86,0,0
866,4.16378,1022.62,0,0
867,4.26022,755.516,0,0
868,4.30839,670.207,0,0
869,4.30839,673.575,0,0
870,4.33245,639.106,0,0
871,4.35651,608.15,0,0
872,4.40461,552.201,0,0
873,4.33245,649.525,0,0
874,4.54865,431.435,0,0
875,4.50068,469.077,0,1
876,4.09134,1579.5,0,1
877,4.01882,2730.1,0,1
878,4.21202,937.369,0,1
879,4.01882,2784.57,0,1
880,3.92199,86400,0,1
881,4.1155,1410.89,0,1
882,3.89775,86400,0,1
883,3.99462,3756.1,0,1
884,4.043,2268.64,0,1
885,3.72785,86400,0,1
886,3.92199,86400,0,1
887,3.65488,86400,0,1
888,3.60619,86400,0,1
889,3.60619,86400,0,1
890,3.53308,86400,0,1
891,3.48428,86400,0,1
892,3.45987,86400,0,1
893,3.48428,86400,0,1
894,3.28869,86400,0,1
895,3.41101,86400,0,1
896,3.26419,86400,0,1
897,3.31317,86400,0,1
898,3.26419,86400,0,1
899,3.11699,86400,0,1
900,2.94477,86400,0,1
901,2.99403,86400,0,1
902,2.8708,86400,0,1
903,3.04324,86400,0,1
904,2.92012,86400,0,1
905,2.82143,86400,0,1
906,2.6483,86400,0,1
907,2.69782,86400,0,1
908,2.79673,86400,0,1
909,2.7473,86400,0,1
910,2.72256,86400,0,1
911,2.52429,86400,0,1
912,2.47462,86400,0,1
913,2.54912,86400,0,1
914,2.37512,86400,0,1
915,2.42489,86400,0,1
916,2.20056,86400,0,1
917,2.15057,86400,0,1
918,2.30038,86400,0,1
919,2.15057,86400,0,1
920,2.25049,86400,0,1
921,2.02541,86400,0,1
922,2.15057,86400,0,1
923,1.97526,86400,0,1
924,2.15057,86400,1,0
925,2.25049,86400,1,0
926,2.20056,86400,1,0
927,2.17557,86400,1,0
928,2.20056,86400,1,0
